calendar_id,calendar_version,timezone,session_date,open_at,break_start_at,break_end_at,close_at,sequence,special_session
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-11,2026-05-11T09:30:00+08:00,2026-05-11T11:30:00+08:00,2026-05-11T13:00:00+08:00,2026-05-11T15:00:00+08:00,1,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-13,2026-05-13T09:30:00+08:00,2026-05-13T11:30:00+08:00,2026-05-13T13:00:00+08:00,2026-05-13T15:00:00+08:00,2,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-14,2026-05-14T09:30:00+08:00,2026-05-14T11:30:00+08:00,2026-05-14T13:00:00+08:00,2026-05-14T15:00:00+08:00,3,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-18,2026-05-18T09:30:00+08:00,2026-05-18T11:30:00+08:00,2026-05-18T13:00:00+08:00,2026-05-18T15:00:00+08:00,4,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-19,2026-05-19T09:30:00+08:00,2026-05-19T11:30:00+08:00,2026-05-19T13:00:00+08:00,2026-05-19T15:00:00+08:00,5,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-20,2026-05-20T09:30:00+08:00,2026-05-20T11:30:00+08:00,2026-05-20T13:00:00+08:00,2026-05-20T15:00:00+08:00,6,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-21,2026-05-21T09:30:00+08:00,2026-05-21T11:30:00+08:00,2026-05-21T13:00:00+08:00,2026-05-21T15:00:00+08:00,7,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-22,2026-05-22T09:30:00+08:00,2026-05-22T11:30:00+08:00,2026-05-22T13:00:00+08:00,2026-05-22T15:00:00+08:00,8,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-25,2026-05-25T09:30:00+08:00,2026-05-25T11:30:00+08:00,2026-05-25T13:00:00+08:00,2026-05-25T15:00:00+08:00,9,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-26,2026-05-26T09:30:00+08:00,2026-05-26T11:30:00+08:00,2026-05-26T13:00:00+08:00,2026-05-26T15:00:00+08:00,10,false
