contract_version,calendar_id,calendar_version,session_date,decision_cutoff_at,ticker,company_id,window_sessions,feature_schema_version,information_cutoff_at,generated_from_article_count,latest_information_available_at,event_provider,event_model_version,sentiment_provider,sentiment_model_version,lineage_row_id,synthetic_data,generated_by_version,news_count,unique_article_count,unique_source_count,has_news,missing_published_time_count,abstained_prediction_count,positive_count,neutral_count,negative_count,uncertain_count,positive_share,negative_share,uncertain_share,mean_sentiment_score,confidence_weighted_sentiment_score,sentiment_score_std,min_sentiment_score,max_sentiment_score,event_type_count,event_entropy,mean_novelty_score,max_novelty_score,source_diversity_ratio,hours_since_latest_news,decayed_news_count,decayed_sentiment_score,low_coverage,contains_missing_timestamp,contains_abstention,contains_multi_company_article,contains_backfilled_information,event_earnings_count,event_earnings_share,event_merger_acquisition_count,event_merger_acquisition_share,event_policy_regulation_count,event_policy_regulation_share,event_operations_product_count,event_operations_product_share,event_financing_capital_count,event_financing_capital_share,event_litigation_penalty_count,event_litigation_penalty_share,event_governance_personnel_count,event_governance_personnel_share,event_macro_market_count,event_macro_market_share,event_other_count,event_other_share
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ALP,19bf6cb4-70d7-570c-bdf8-955fef8fccf6,1,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,844525861ee4b8c61c704d29c37958ac,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ALP,19bf6cb4-70d7-570c-bdf8-955fef8fccf6,3,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,5c65350365e03b62e3bb8e7715045926,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ALP,19bf6cb4-70d7-570c-bdf8-955fef8fccf6,5,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,4aca47fcb6e750b075f26eb9b385ba6d,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ALP,19bf6cb4-70d7-570c-bdf8-955fef8fccf6,10,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,5ef60d7f9195ca0b376176c43b7c5381,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,BRC,bf5a21dd-2604-58b9-9425-3ce009b267a4,1,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,e4b6a75f8ac9b9a0d40db77add9ad949,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,BRC,bf5a21dd-2604-58b9-9425-3ce009b267a4,3,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,89929d8466ab60b3aba483306f688855,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,BRC,bf5a21dd-2604-58b9-9425-3ce009b267a4,5,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,e2ed1a59c4dfb8beea55a3258c120533,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,BRC,bf5a21dd-2604-58b9-9425-3ce009b267a4,10,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,c53c8bfa2789ea2eddce75224bc6cd1e,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ECO,cc2a8ca8-fb5c-5e45-b4ec-3b76efc8ed33,1,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,d0b1a6ee1fcd4b46634a81fe2cf047d8,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.0.0,synthetic-ashare-demo-calendar,2026-demo-v1,2026-05-11,2026-05-11T09:15:00+08:00,ECO,cc2a8ca8-fb5c-5e45-b4ec-3b76efc8ed33,3,news-factor-v1,2026-05-11T09:15:00+08:00,0,,,,,,568b16faa3e6d90de634208ccbce39f9,true,finnews-m3a,0,0,0,false,0,0,0,0,0,0,,,,,,,,,0,,,,,,0,,true,false,false,false,false,0,,0,,0,,0,,0,,0,,0,,0,,0,
